symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profitloss,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
ATI,quarterly,1996-03-31,1996-04-23,pre-market,,0.58,0.6,-0.02,-3.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1996-06-30,1996-07-23,pre-market,,0.68,0.76,-0.08,-10.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1996-09-30,1996-10-23,pre-market,,0.52,0.67,-0.15,-22.3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1996-12-31,1997-01-22,pre-market,,0.76,0.62,0.14,22.5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1997-03-31,1997-04-23,pre-market,,0.72,0.8,-0.08,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1997-06-30,1997-07-23,pre-market,,0.86,0.81,0.05,6.1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1997-09-30,1997-10-22,pre-market,,0.7,0.74,-0.04,-5.4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1997-12-31,1998-01-21,pre-market,,0.86,0.85,0.01,1.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1998-03-31,1998-04-22,pre-market,,0.7,0.8,-0.1,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1998-06-30,1998-07-22,pre-market,,0.8,0.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1998-09-30,1998-10-21,pre-market,,0.66,0.62,0.04,6.4516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1998-12-31,1999-01-28,pre-market,,0.78,0.71,0.07,9.8592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1999-03-31,1999-04-28,pre-market,,0.66,0.64,0.02,3.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1999-06-30,1999-07-28,pre-market,,0.66,0.67,-0.01,-1.4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1999-09-30,1999-10-27,pre-market,,0.4,0.38,0.02,5.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,1999-12-31,2000-01-25,pre-market,,0.22,0.26,-0.04,-15.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2000-03-31,2000-04-26,pre-market,,0.47,0.35,0.12,34.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2000-06-30,2000-07-26,pre-market,,0.53,0.46,0.07,15.2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2000-09-30,2000-10-17,pre-market,,0.52,0.48,0.04,8.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2000-12-31,2001-01-17,pre-market,,0.32,0.35,-0.03,-8.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2001-03-31,2001-04-18,pre-market,,0.08,0.07,0.01,14.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2001-06-30,2001-07-17,pre-market,,0.12,0.1,0.02,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2001-09-30,2001-10-17,pre-market,,0.1,0.12,-0.02,-16.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2001-12-31,2002-01-16,pre-market,,0.02,0.04,-0.02,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2002-03-31,2002-04-17,pre-market,,-0.14,-0.13,-0.01,-7.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2002-06-30,2002-07-17,pre-market,,-0.09,-0.07,-0.02,-28.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2002-09-30,2002-10-16,pre-market,,-0.04,-0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2002-12-31,2003-01-21,pre-market,,-0.13,-0.11,-0.02,-18.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2003-03-31,2003-04-22,pre-market,,-0.32,-0.34,0.02,5.8824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2003-06-30,2003-07-23,pre-market,,-0.32,-0.29,-0.03,-10.3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2003-09-30,2003-10-22,pre-market,,-0.32,-0.34,0.02,5.8824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2003-12-31,2004-01-21,pre-market,,-0.43,-0.35,-0.08,-22.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2004-03-31,2004-04-21,pre-market,,-0.63,-0.6,-0.03,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2004-06-30,2004-07-20,pre-market,,-0.17,-0.15,-0.02,-13.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2004-09-30,2004-10-20,pre-market,,0.09,0.06,0.03,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2004-12-31,2005-01-31,pre-market,,0.35,0.34,0.01,2.9412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2005-03-31,2005-04-21,pre-market,,0.66,0.46,0.2,43.4783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2005-06-30,2005-07-27,pre-market,,0.91,0.75,0.16,21.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2005-09-30,2005-10-26,pre-market,,0.87,0.83,0.04,4.8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2005-12-31,2006-01-25,pre-market,,0.96,0.88,0.08,9.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,quarterly,2006-03-31,2006-04-26,pre-market,USD,1.0,0.71,0.29,40.8451,,52500000.0,,359100000.0,359100000.0,13700000.0,-52500000.0,,,-94600000.0,,,,10000000.0,102403846.0,,798600000.0,798600000.0,368000000.0,,,512200000.0,,,18800000.0,19300000.0,9900000.0,9900000.0,,175700000.0,194500000.0,200600000.0,241900000.0,160200000.0,57700000.0,200600000.0,200600000.0,,7500000.0,,701700000.0,,,540900000.0,,,102500000.0,0.0,,,35200000.0,72900000.0,169000000.0,62000000.0,220800000.0,,,,,,,,,,,,,,,,742900000.0,0.0,724400000.0,72900000.0,558900000.0,18000000.0,,31100000.0,2924100000.0,1635000000.0,656400000.0,2024100000.0,1289100000.0,1367700000.0,1040500000.0,900000000.0,
ATI,quarterly,2006-06-30,2006-07-26,pre-market,USD,1.27,1.12,0.15,13.3929,,49500000.0,,313200000.0,313200000.0,7700000.0,-48000000.0,,,-133900000.0,,,,10100000.0,102340426.0,,924900000.0,924900000.0,396700000.0,,,560400000.0,,,20200000.0,20600000.0,10100000.0,10100000.0,,217100000.0,237300000.0,206000000.0,285900000.0,203500000.0,63100000.0,206000000.0,206000000.0,,5800000.0,,835600000.0,,,538000000.0,,,140400000.0,0.0,,,-5600000.0,75400000.0,210500000.0,59900000.0,205600000.0,,,,,,,,,,,,,,,,777400000.0,0.0,854700000.0,75400000.0,559100000.0,21100000.0,,,3115400000.0,1769100000.0,650500000.0,2042100000.0,1346300000.0,1391600000.0,1210800000.0,1073300000.0,
ATI,quarterly,2006-09-30,2006-10-25,pre-market,USD,1.54,1.35,0.19,14.0741,,57700000.0,,405900000.0,405900000.0,600000.0,-57400000.0,,,-208800000.0,,,,10100000.0,102692308.0,,963500000.0,963500000.0,578600000.0,,,631500000.0,,,21400000.0,22000000.0,10000000.0,10000000.0,,250100000.0,271500000.0,206100000.0,324900000.0,246400000.0,84500000.0,206100000.0,206100000.0,,4300000.0,,1044300000.0,,,530500000.0,,,161900000.0,0.0,,,149500000.0,72800000.0,252100000.0,50800000.0,239700000.0,,,,,,,,,,,,,,,,813700000.0,0.0,1002600000.0,72800000.0,554800000.0,24300000.0,,,3523400000.0,2132500000.0,881300000.0,2289000000.0,1390900000.0,1407700000.0,1288400000.0,1234400000.0,-400000.0
ATI,quarterly,2006-12-31,2007-01-24,pre-market,USD,1.63,1.61,0.02,1.2422,,75500000.0,,502300000.0,502300000.0,41800000.0,-74800000.0,,,245700000.0,,,,10100000.0,103020833.0,,1056800000.0,1056800000.0,355100000.0,,,610900000.0,,,23800000.0,23800000.0,13100000.0,13100000.0,,268900000.0,292700000.0,206500000.0,343100000.0,259100000.0,92000000.0,206500000.0,206500000.0,,6200000.0,,798700000.0,,,529900000.0,,,167100000.0,0.0,,,129400000.0,74200000.0,268900000.0,76000000.0,264300000.0,,,,,,,,,,,,,,,,867600000.0,9600000.0,1166600000.0,74200000.0,553600000.0,23700000.0,338800000.0,,3282200000.0,1987900000.0,643100000.0,1789600000.0,1294300000.0,1144100000.0,1399900000.0,1492600000.0,
ATI,quarterly,2007-03-31,2007-04-25,pre-market,USD,1.88,1.83,0.05,2.7322,,57700000.0,,518000000.0,518000000.0,-1300000.0,-57700000.0,,,-156000000.0,,,,10200000.0,103020833.0,,986100000.0,986100000.0,442100000.0,,,686800000.0,,,23600000.0,23600000.0,13200000.0,13200000.0,,308400000.0,332000000.0,208500000.0,386500000.0,304600000.0,106800000.0,208500000.0,208500000.0,,4300000.0,,954700000.0,,,522100000.0,,,197800000.0,0.0,,,74700000.0,78100000.0,308400000.0,76400000.0,225900000.0,,,,,,,,,,,,,,,,909100000.0,0.0,1335800000.0,78100000.0,542800000.0,20700000.0,,64000000.0,3584000000.0,2235900000.0,775400000.0,1892100000.0,1348100000.0,1116700000.0,1372600000.0,1691900000.0,-25900000.0
ATI,quarterly,2007-06-30,2007-07-25,pre-market,USD,2.0,1.92,0.08,4.1667,,93800000.0,,529600000.0,529600000.0,-10800000.0,-89600000.0,,,-99300000.0,,,,10200000.0,103250000.0,,1069800000.0,1069800000.0,445300000.0,,,709900000.0,,,25000000.0,25000000.0,13300000.0,13300000.0,,328800000.0,353800000.0,209400000.0,401500000.0,325900000.0,119400000.0,209400000.0,209400000.0,,2600000.0,,1054000000.0,,,518500000.0,,,206500000.0,0.0,,,112000000.0,72700000.0,328800000.0,61100000.0,229900000.0,,,,,,,,,,,,,,,,980200000.0,0.0,1524100000.0,72700000.0,540700000.0,22200000.0,,,3786100000.0,2354600000.0,763600000.0,1904300000.0,1431500000.0,1140700000.0,1471300000.0,1881800000.0,-19500000.0
ATI,quarterly,2007-09-30,2007-10-24,pre-market,USD,1.88,1.86,0.02,1.0753,,129500000.0,,663600000.0,663600000.0,-22500000.0,-137500000.0,,,83200000.0,,,,10200000.0,103138298.0,,968100000.0,968100000.0,337700000.0,,,648100000.0,,,26600000.0,26600000.0,13300000.0,13300000.0,,293400000.0,320000000.0,209800000.0,366900000.0,294000000.0,100100000.0,209800000.0,209800000.0,,100000.0,,970800000.0,,,513000000.0,,,193900000.0,0.0,,,294000000.0,73500000.0,293400000.0,65800000.0,257400000.0,,,,,,,,,,,,,,,,1096500000.0,0.0,1701600000.0,73500000.0,529500000.0,16500000.0,,,3916800000.0,2348300000.0,703700000.0,1843900000.0,1568500000.0,1140200000.0,1335000000.0,2072900000.0,-15900000.0
ATI,quarterly,2007-12-31,2008-01-23,pre-market,USD,1.45,1.4,0.05,3.5714,,176100000.0,,623300000.0,623300000.0,-102500000.0,-166900000.0,,,54700000.0,,,,10200000.0,101428571.0,,979100000.0,979100000.0,388400000.0,,,652200000.0,,,27700000.0,27700000.0,18300000.0,18300000.0,,194400000.0,222100000.0,209800000.0,294500000.0,222800000.0,73900000.0,125200000.0,125200000.0,,1600000.0,,916100000.0,,,507300000.0,,,148900000.0,0.0,,,229100000.0,72400000.0,222100000.0,57100000.0,294700000.0,,,,,,,,,,,,,,,,1239500000.0,14000000.0,1830700000.0,72400000.0,528200000.0,20900000.0,,,4095600000.0,2248700000.0,704000000.0,1872100000.0,1846900000.0,1168100000.0,1273600000.0,2223500000.0,-75400000.0
ATI,quarterly,2008-03-31,2008-04-23,pre-market,USD,1.4,1.48,-0.08,-5.4054,,112000000.0,,468000000.0,468000000.0,-109600000.0,-111700000.0,,,-169300000.0,,,,10200000.0,101600000.0,,1052800000.0,1052800000.0,469200000.0,,,716000000.0,,,27300000.0,27300000.0,18200000.0,18200000.0,,220400000.0,247700000.0,210200000.0,290600000.0,219900000.0,77900000.0,210200000.0,210200000.0,,200000.0,,1085500000.0,,,503500000.0,,,142000000.0,0.0,,,66000000.0,70200000.0,220400000.0,48200000.0,269500000.0,,,,,,,,,,,,,-62300000.0,,,1329900000.0,0.0,1954500000.0,70200000.0,524400000.0,20900000.0,,53800000.0,4276400000.0,2317700000.0,830800000.0,1990100000.0,1958700000.0,1159300000.0,1343400000.0,2286300000.0,-102000000.0
ATI,quarterly,2008-06-30,2008-07-23,pre-market,USD,1.55,1.56,-0.01,-0.641,,143600000.0,,310200000.0,310200000.0,-44200000.0,-143900000.0,,,-85800000.0,,,,10200000.0,101746988.0,,1128900000.0,1128900000.0,451200000.0,,,738300000.0,,,29200000.0,29200000.0,18200000.0,18200000.0,,253100000.0,282300000.0,209700000.0,332300000.0,250100000.0,81200000.0,209700000.0,209700000.0,,1300000.0,,1171200000.0,,,502300000.0,,,168900000.0,0.0,,,30300000.0,79200000.0,253100000.0,48300000.0,303600000.0,,,,,,,,,,,,,-26100000.0,,,1446900000.0,0.0,2104800000.0,79200000.0,524000000.0,21700000.0,,,4366800000.0,2268000000.0,790800000.0,1939700000.0,2098800000.0,1148900000.0,1461200000.0,2427100000.0,-127600000.0
ATI,quarterly,2008-09-30,2008-10-22,pre-market,USD,1.45,1.38,0.07,5.0725,,109500000.0,,272600000.0,272600000.0,-177700000.0,-108200000.0,,,87300000.0,,,,10200000.0,99700000.0,,1085800000.0,1085800000.0,414400000.0,,,744500000.0,,,30200000.0,30200000.0,17700000.0,17700000.0,,232300000.0,262500000.0,204200000.0,306600000.0,228000000.0,83900000.0,204200000.0,204200000.0,,1700000.0,,1083900000.0,,,495000000.0,,,144100000.0,0.0,,,248300000.0,74300000.0,232300000.0,40200000.0,333500000.0,,,,,,,,,,,,,-153400000.0,,,1523400000.0,0.0,2230400000.0,74300000.0,515900000.0,20900000.0,,,4312000000.0,2141200000.0,797800000.0,1947300000.0,2170800000.0,1149500000.0,1392400000.0,2364700000.0,-280100000.0
ATI,quarterly,2008-12-31,2009-01-21,pre-market,USD,1.08,0.87,0.21,24.1379,,150600000.0,,469900000.0,469900000.0,-62500000.0,-150100000.0,,,196400000.0,,,,10200000.0,97800000.0,,890300000.0,890300000.0,278500000.0,,,530500000.0,,,32100000.0,32100000.0,17300000.0,17300000.0,,147800000.0,179900000.0,190900000.0,222400000.0,162100000.0,51200000.0,134900000.0,134900000.0,,8000000.0,,887600000.0,,,494600000.0,,,110900000.0,0.0,,,409900000.0,69000000.0,153400000.0,41400000.0,400200000.0,,,,,,,,,,,,,-36500000.0,,,1633600000.0,14900000.0,2286700000.0,59000000.0,509800000.0,15200000.0,,,4170400000.0,1929400000.0,693900000.0,2209100000.0,2241000000.0,1515200000.0,1112700000.0,1961300000.0,-244800000.0
ATI,quarterly,2009-03-31,2009-04-22,pre-market,USD,0.06,-0.01,0.07,700.0,,109200000.0,,506000000.0,506000000.0,-23600000.0,-109200000.0,,,141300000.0,,,,10200000.0,97800000.0,,750900000.0,750900000.0,232600000.0,,,448800000.0,,,32300000.0,32300000.0,17600000.0,17600000.0,,-100000.0,32200000.0,189100000.0,80700000.0,300000.0,-5000000.0,124700000.0,124700000.0,,8900000.0,,746200000.0,,,488800000.0,,,5900000.0,0.0,,,168900000.0,80800000.0,-100000.0,44900000.0,298300000.0,,,,,,,,,,,,,,,,1709800000.0,0.0,2260300000.0,80800000.0,503500000.0,14700000.0,,-5900000.0,4033300000.0,1745900000.0,545600000.0,2011000000.0,2287400000.0,1465400000.0,831600000.0,1951000000.0,-211700000.0
ATI,quarterly,2009-06-30,2009-07-22,pre-market,USD,0.03,0.03,0.0,0.0,,102300000.0,,850700000.0,850700000.0,535900000.0,-103600000.0,,,53300000.0,,,,10200000.0,97200000.0,,634800000.0,634800000.0,236400000.0,,,398200000.0,,,32100000.0,32100000.0,18500000.0,18500000.0,,10800000.0,42900000.0,197300000.0,75200000.0,-1700000.0,11700000.0,197300000.0,197300000.0,,10800000.0,,692900000.0,,,1055900000.0,,,-11700000.0,-11700000.0,,,-87600000.0,64400000.0,10800000.0,76200000.0,264900000.0,,599100000.0,-9500000.0,,,,,,,,,,,,,1787000000.0,0.0,2227200000.0,64400000.0,1073400000.0,17500000.0,,,4321400000.0,2018000000.0,518800000.0,2173800000.0,2303400000.0,1655000000.0,710000000.0,2075500000.0,-208700000.0
ATI,quarterly,2009-09-30,2009-10-21,pre-market,USD,0.01,0.03,-0.02,-66.6667,,96600000.0,,826300000.0,826300000.0,-2700000.0,-89800000.0,,,-44400000.0,,,,10200000.0,98000000.0,,603500000.0,603500000.0,283000000.0,,,415800000.0,,,32200000.0,32200000.0,35300000.0,35300000.0,,-21800000.0,10400000.0,196300000.0,94100000.0,2600000.0,-1400000.0,196300000.0,196300000.0,,8100000.0,,737300000.0,,,1050400000.0,,,1400000.0,4000000.0,,,68100000.0,83700000.0,10400000.0,67700000.0,278900000.0,,594000000.0,300000.0,,,,,,,,,,0.0,,,1852500000.0,0.0,2210800000.0,83700000.0,1070600000.0,20200000.0,0.0,7000000.0,4380000000.0,2047100000.0,582100000.0,2226500000.0,2332900000.0,1644400000.0,697600000.0,2078700000.0,-208400000.0
ATI,quarterly,2009-12-31,2010-01-27,pre-market,USD,0.36,0.22,0.14,63.6364,,107300000.0,,708800000.0,708800000.0,-35500000.0,-151100000.0,,,-82400000.0,,,,10200000.0,98700000.0,,657300000.0,657300000.0,308600000.0,,,392000000.0,,,36000000.0,36000000.0,35300000.0,35300000.0,,63100000.0,99100000.0,207800000.0,158400000.0,62000000.0,21600000.0,169600000.0,169600000.0,,10000000.0,,825500000.0,,,1037600000.0,,,37800000.0,0.0,,,69100000.0,86800000.0,71600000.0,71300000.0,282500000.0,,594200000.0,,,,,,,,,,,0.0,,,1907900000.0,19300000.0,2230500000.0,86800000.0,1071100000.0,33500000.0,0.0,-2600000.0,4346000000.0,1997600000.0,624600000.0,2256400000.0,2348400000.0,1631800000.0,815700000.0,2012200000.0,-208600000.0
ATI,quarterly,2010-03-31,2010-04-28,pre-market,USD,0.24,0.24,0.0,0.0,,51200000.0,,563500000.0,563500000.0,-22700000.0,-50600000.0,-145300000.0,,-145600000.0,,,-80500000.0,10200000.0,98700000.0,,778000000.0,778000000.0,396700000.0,,,472600000.0,,,34600000.0,34600000.0,17700000.0,17700000.0,,46800000.0,81400000.0,203900000.0,121400000.0,33000000.0,13200000.0,175700000.0,175700000.0,,14600000.0,,971100000.0,,,1032300000.0,,,18200000.0,19800000.0,,,-72000000.0,74200000.0,47200000.0,83100000.0,263200000.0,,580200000.0,400000.0,,,,,,,,,,100000.0,,,1921300000.0,0.0,2227200000.0,74200000.0,1064400000.0,32100000.0,0.0,1100000.0,4403000000.0,2090300000.0,692000000.0,2304500000.0,2312700000.0,1612500000.0,899400000.0,2019500000.0,-185200000.0
ATI,quarterly,2010-06-30,2010-07-28,pre-market,USD,0.36,0.37,-0.01,-2.7027,,46400000.0,,378700000.0,378700000.0,-17400000.0,-46000000.0,-184800000.0,,-81800000.0,,,-96800000.0,10200000.0,108400000.0,,900200000.0,900200000.0,363600000.0,,,569300000.0,,,35200000.0,35200000.0,17600000.0,17600000.0,,76000000.0,111200000.0,204800000.0,151800000.0,60600000.0,22400000.0,182900000.0,182900000.0,,15400000.0,,1053000000.0,,,1032100000.0,,,36400000.0,38200000.0,,,-121400000.0,76000000.0,75800000.0,75600000.0,253000000.0,,569100000.0,200000.0,,,,,,,,,,300000.0,,,1933500000.0,0.0,2245200000.0,76000000.0,1070100000.0,38000000.0,0.0,19200000.0,4397800000.0,2076600000.0,654600000.0,2267300000.0,2321200000.0,1612700000.0,1052000000.0,2049400000.0,-184000000.0
ATI,quarterly,2010-09-30,2010-10-26,pre-market,USD,0.05,0.1,-0.05,-50.0,,35600000.0,,443300000.0,443300000.0,-29100000.0,-35800000.0,64600000.0,,40900000.0,,,-53700000.0,10200000.0,98600000.0,,969000000.0,969000000.0,412100000.0,,,623000000.0,,,36200000.0,36200000.0,17700000.0,17700000.0,,25900000.0,62100000.0,208100000.0,89800000.0,9500000.0,6200000.0,181000000.0,181000000.0,,16400000.0,,1012000000.0,,,1039200000.0,,,1000000.0,3300000.0,,,129500000.0,65900000.0,23900000.0,82400000.0,276400000.0,,558300000.0,2000000.0,,,,,,,,,,0.0,,,1939900000.0,0.0,2228400000.0,65900000.0,1061100000.0,21900000.0,0.0,-2300000.0,4489700000.0,2160700000.0,710400000.0,2357000000.0,2329000000.0,1646600000.0,1058800000.0,2048200000.0,-183700000.0
